world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,11,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,11,mppi_patch_sym,True,False,19.96,0.242,7.36,1.1,,,0.0117,0.399,RESULT: SUCCESS (status=4)
open,11,mppi_patch_block,True,False,18.56,0.227,7.37,1.1,,,0.0211,0.415,RESULT: SUCCESS (status=4)
open,12,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.015,0.403,RESULT: SUCCESS (status=4)
open,12,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,12,mppi_patch_sym,True,False,19.96,0.243,7.36,1.1,,,0.0117,0.399,RESULT: SUCCESS (status=4)
open,12,mppi_patch_block,True,False,18.56,0.227,7.37,1.1,,,0.0211,0.415,RESULT: SUCCESS (status=4)
open,13,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.015,0.403,RESULT: SUCCESS (status=4)
open,13,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,13,mppi_patch_sym,True,False,19.96,0.243,7.36,1.1,,,0.0117,0.399,RESULT: SUCCESS (status=4)
open,13,mppi_patch_block,True,False,18.56,0.227,7.37,1.1,,,0.024,0.415,RESULT: SUCCESS (status=4)
open,14,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.015,0.403,RESULT: SUCCESS (status=4)
open,14,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,14,mppi_patch_sym,True,False,19.96,0.243,7.36,1.1,,,0.0117,0.399,RESULT: SUCCESS (status=4)
open,14,mppi_patch_block,True,False,18.56,0.227,7.37,1.1,,,0.0212,0.415,RESULT: SUCCESS (status=4)
