world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,8,mppi_patch_t30,False,False,91.26,1.089,10.08,1.1,,,0.0073,0.232,RESULT: FAILURE (status=6)
open,9,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.0161,0.403,RESULT: SUCCESS (status=4)
open,9,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,9,mppi_patch_lim_t10,False,False,17.88,7.083,0.54,1.1,,,0.0016,0.1,RESULT: FAILURE (status=6)
open,9,mppi_patch_lim_t30,False,False,9.88,7.484,0.13,1.1,,,0.0006,0.025,RESULT: FAILURE (status=6)
open,9,mppi_patch_t30,False,False,91.26,1.088,10.09,1.1,,,0.0073,0.232,RESULT: FAILURE (status=6)
open,10,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.0161,0.403,RESULT: SUCCESS (status=4)
open,10,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,10,mppi_patch_lim_t10,False,False,17.88,7.083,0.54,1.1,,,0.0016,0.1,RESULT: FAILURE (status=6)
open,10,mppi_patch_lim_t30,False,False,9.88,7.484,0.13,1.1,,,0.0006,0.025,RESULT: FAILURE (status=6)
open,10,mppi_patch_t30,False,False,91.26,1.089,10.08,1.1,,,0.0073,0.232,RESULT: FAILURE (status=6)
open,11,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.015,0.403,RESULT: SUCCESS (status=4)
open,11,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.0201,0.405,RESULT: SUCCESS (status=4)
open,11,mppi_patch_lim_t10,False,False,17.98,7.083,0.54,1.1,,,0.0016,0.1,RESULT: FAILURE (status=6)
open,11,mppi_patch_lim_t30,False,False,9.88,7.484,0.13,1.1,,,0.0006,0.025,RESULT: FAILURE (status=6)
open,11,mppi_patch_t30,False,False,91.26,1.089,10.08,1.1,,,0.0073,0.232,RESULT: FAILURE (status=6)
open,12,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.0161,0.403,RESULT: SUCCESS (status=4)
open,12,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,12,mppi_patch_lim_t10,False,False,17.88,7.084,0.54,1.1,,,0.0016,0.1,RESULT: FAILURE (status=6)
open,12,mppi_patch_lim_t30,False,False,9.88,7.484,0.13,1.1,,,0.0006,0.025,RESULT: FAILURE (status=6)
open,12,mppi_patch_t30,False,False,91.26,1.089,10.08,1.1,,,0.0073,0.232,RESULT: FAILURE (status=6)
open,13,mppi_patch,True,False,19.16,0.246,7.35,1.1,,,0.015,0.403,RESULT: SUCCESS (status=4)
open,13,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,13,mppi_patch_lim_t10,False,False,17.88,7.083,0.54,1.1,,,0.0015,0.1,RESULT: FAILURE (status=6)
open,13,mppi_patch_lim_t30,False,False,9.88,7.484,0.13,1.1,,,0.0006,0.025,RESULT: FAILURE (status=6)
open,13,mppi_patch_t30,False,False,91.36,1.09,10.09,1.1,,,0.0074,0.232,RESULT: FAILURE (status=6)
open,14,mppi_patch,True,False,19.18,0.241,7.36,1.1,,,0.015,0.403,RESULT: SUCCESS (status=4)
open,14,mppi_patch_lim,True,False,19.28,0.237,7.36,1.1,,,0.02,0.405,RESULT: SUCCESS (status=4)
open,14,mppi_patch_lim_t10,False,False,17.98,7.083,0.54,1.1,,,0.0016,0.1,RESULT: FAILURE (status=6)
open,14,mppi_patch_lim_t30,False,False,9.88,7.484,0.13,1.1,,,0.0006,0.025,RESULT: FAILURE (status=6)
open,14,mppi_patch_t30,False,False,91.26,1.089,10.08,1.1,,,0.0073,0.232,RESULT: FAILURE (status=6)
